Artist name,Title,Year,Loudness,Key,Danceability,Energy,Tempo
Mastodon,Deep Sea Creature,2001,-3.306,5,0.0,0.0,173.205
Los Chichos,No Quieras Marcharte,1984,-10.764000000000001,0,0.0,0.0,150.955
Foxy Brown,If I...,0,-9.035,1,0.0,0.0,93.056
Ram\xc3\xb3n Vargas;Vladimir Jurowski,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,0,-23.095,7,0.0,0.0,127.113
Enthroned,Ad Te Clamamus Exsvles Mortva Liberi,2010,-20.359,2,0.0,0.0,90.66
Bone Thugs-N-Harmony,Murder One,2000,-5.724,9,0.0,0.0,101.167
Utopia,On My Feet Again,0,-10.652999999999999,2,0.0,0.0,173.84099999999995
Muse,Bedroom Acoustics,0,-20.816,4,0.0,0.0,127.54700000000001
Jo\xc3\xa3o Gilberto,Segredo,2000,-29.75,4,0.0,0.0,127.78200000000001
Niraj Chag,Sajana (Ft Faheem Mazhar),0,-5.644,9,0.0,0.0,90.01299999999998
Portable,Theresa,2003,-18.152,10,0.0,0.0,116.005
Daniel Johnston,Story Of An Artist (Don't Be Scared),0,-12.743,0,0.0,0.0,106.742
Christian McBride,D Shuffle Jam (Part 2),0,-9.479,0,0.0,0.0,121.20100000000001
String Trio Of New York,Ju Ju,0,-18.245,9,0.0,0.0,130.316
Jim Kweskin,When I Was A Cowboy (Western Plains) (LP Version),0,-15.279000000000002,10,0.0,0.0,160.981
Ultraviolence,I Destructor (Lenny Dee Mix),0,-9.249,1,0.0,0.0,174.57
Speedball,No Survivors,1998,-9.191,5,0.0,0.0,159.702
Autumnblaze,Her Golden Robe In Silence Veiled,1999,-9.033,9,0.0,0.0,119.428
Kris Kristofferson,Same Old Song,1974,-11.663,2,0.0,0.0,74.809
Cinder,The Ride (Album),2006,-5.025,6,0.0,0.0,157.909
Sister Rosetta Tharpe,Two Little Fishes_ Five Loaves Of Bread,0,-11.459000000000001,5,0.0,0.0,89.995
George Lopez,Church Hangover,2006,-16.724,9,0.0,0.0,101.455
Johnny Cash,I Got Stripes (Live),2006,-7.0870000000000015,4,0.0,0.0,118.041
Hatesex,The Greed Of Our Stare,0,-8.506,0,0.0,0.0,180.12900000000005
Rui Da Silva,The Contracting Perception Of Consciousness,0,-12.161,1,0.0,0.0,123.007
Tim Exile,Post-Toxic Finger Disorder,2006,-4.379,0,0.0,0.0,141.836
Marcel Mouloudji,Qui Donc A Chang\xc3\xa9 ?,0,-14.710999999999999,0,0.0,0.0,77.5
Alex Theory,Lotus Kiss,0,-10.56,9,0.0,0.0,100.295
Michael Card,So Many Books ... (The Word Album Version),0,-7.005,9,0.0,0.0,122.40299999999999
Megadrums,Drummer's Circle,0,-15.777000000000001,11,0.0,0.0,118.713
Walter Jackson,What Would You Do,2006,-12.839,5,0.0,0.0,78.453
Bizzy Bone Presents,Intro,2004,-7.8370000000000015,4,0.0,0.0,81.90100000000002
Jerry Reed,When You're Hot_ You're Hot,0,-4.994,9,0.0,0.0,201.951
Justin,Kong,0,-12.585999999999999,1,0.0,0.0,81.38
New Roanoke Jug Band,When Those Two Towers Fell,0,-13.873,0,0.0,0.0,96.212
Floor,Ignis,2009,-9.105,4,0.0,0.0,144.803
Charles Williams,Close Up,0,-14.493,5,0.0,0.0,102.95
The Animals_ Sonny Boy Williamson,Bo Diddley,1973,-9.492,10,0.0,0.0,81.111
Fever Ray,I'm Not Done,2009,-9.074,0,0.0,0.0,64.811
Orquesta Broadway,La Sitiera,0,-8.612,9,0.0,0.0,95.243
T-Bone Walker,Teenage Baby (Digitally Remastered),0,-11.124,8,0.0,0.0,162.855
David Martin,It Must Be,0,-8.57,4,0.0,0.0,133.925
Dilated Peoples,Big Business,2004,-8.225,11,0.0,0.0,165.546
Warren Barfield,Shadow,2006,-6.7479999999999976,11,0.0,0.0,117.985
MN,The Truth,0,-12.370999999999999,11,0.0,0.0,136.95
Bob Wills,Sittin' On Top of the Wolrd,0,-15.652999999999999,7,0.0,0.0,95.655
Checkers,Oh Oh Oh Baby,0,-13.42,1,0.0,0.0,135.048
Los Iracundos,Adios...Borron Y Cuenta Nueva,0,-7.5820000000000025,2,0.0,0.0,92.785
John And The Bluesbreakers Mayall,A Hard Road,1967,-6.356,7,0.0,0.0,94.304
Hevia,San Xuan,2003,-5.763999999999999,0,0.0,0.0,125.02
Babbie Mason,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),0,-17.262999999999998,2,0.0,0.0,141.02200000000005
Benabar,Le Zoo De Vincennes,2003,-11.258,4,0.0,0.0,88.01799999999999
Champion Jack Dupree,Christina Christina Blues,0,-21.72300000000001,3,0.0,0.0,95.02600000000001
Tommy James & The Shondells,Crimson And Clover,1969,-11.359000000000002,11,0.0,0.0,167.84099999999995
Charles Williams,Barrage,0,-12.91,0,0.0,0.0,74.666
Bally Sagoo,Mele Wich Ayee (Shaan Remix),0,-12.392000000000001,6,0.0,0.0,111.90100000000001
Jerry Yan,XI GUAN LIANG GE REN,0,-10.802999999999999,11,0.0,0.0,117.89200000000001
Z.Z. Hill,Faithful and True (Collectors Version),1971,-8.301,10,0.0,0.0,73.545
The Grease Band,Laughed At The Judge,0,-16.021,6,0.0,0.0,123.891
Marcus Miller,Outro Duction,2005,-13.227,9,0.0,0.0,78.382
Tina Britt,He Put The Hurt On Me,2006,-7.162000000000001,3,0.0,0.0,118.835
X-Static,Murderous Style,0,-12.139000000000001,1,0.0,0.0,98.645
Gary Morris,You're Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version),0,-12.584000000000001,7,0.0,0.0,81.809
Silv\xc3\xa9rio Pessoa,Eu vi a maquina voadora,0,-11.448,4,0.0,0.0,95.99700000000001
The Prodigy,Music Reach (1/2/3/4) (Remastered),0,-5.434,6,0.0,0.0,215.916
Deborah Allen,I Will Always Love You,2005,-11.155999999999999,6,0.0,0.0,67.904
Tomorrow,Colonel Brown (1999 Digital Remaster),0,-11.216,2,0.0,0.0,138.028
John Holt,The Tide Is High - Original,0,-13.898,8,0.0,0.0,166.05
Ty Herndon;Stephanie Bentley,Heart Half Empty,0,-7.688,10,0.0,0.0,74.166
Faye Adams,My Greatest Desire,1961,-11.508,3,0.0,0.0,110.323
Chimaira,The Flame,2007,-4.238,7,0.0,0.0,150.11
Cali,Sta giu' (feat. Dj Rockdrive),0,-4.184,1,0.0,0.0,187.71599999999998
The Master Musicians of Jajouka featuring Bachir Attar,The Truth Forever,0,-15.925999999999998,8,0.0,0.0,131.578
