Artist name,Title,Year,Loudness,Key,Danceability,Energy,Tempo,isTop100
Mastodon,Deep Sea Creature,2001,-3.306,5,0.0,0.0,173.205,0
Los Chichos,No Quieras Marcharte,1984,-10.764,0,0.0,0.0,150.955,0
Foxy Brown,If I...,0,-9.035,1,0.0,0.0,93.056,0
Ram\xc3\xb3n Vargas;Vladimir Jurowski,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,0,-23.095,7,0.0,0.0,127.113,0
Enthroned,Ad Te Clamamus Exsvles Mortva Liberi,2010,-20.359,2,0.0,0.0,90.66,0
Bone Thugs-N-Harmony,Murder One,2000,-5.724,9,0.0,0.0,101.167,0
Utopia,On My Feet Again,0,-10.653,2,0.0,0.0,173.84099999999995,0
Muse,Bedroom Acoustics,0,-20.816,4,0.0,0.0,127.547,0
Jo\xc3\xa3o Gilberto,Segredo,2000,-29.75,4,0.0,0.0,127.782,0
Niraj Chag,Sajana (Ft Faheem Mazhar),0,-5.644,9,0.0,0.0,90.01299999999998,0
Portable,Theresa,2003,-18.152,10,0.0,0.0,116.005,0
Daniel Johnston,Story Of An Artist (Don't Be Scared),0,-12.743,0,0.0,0.0,106.742,0
Christian McBride,D Shuffle Jam (Part 2),0,-9.479,0,0.0,0.0,121.201,0
String Trio Of New York,Ju Ju,0,-18.245,9,0.0,0.0,130.316,0
Jim Kweskin,When I Was A Cowboy (Western Plains) (LP Version),0,-15.279000000000002,10,0.0,0.0,160.981,0
Ultraviolence,I Destructor (Lenny Dee Mix),0,-9.249,1,0.0,0.0,174.57,0
Speedball,No Survivors,1998,-9.191,5,0.0,0.0,159.702,0
Autumnblaze,Her Golden Robe In Silence Veiled,1999,-9.033,9,0.0,0.0,119.428,0
Kris Kristofferson,Same Old Song,1974,-11.663,2,0.0,0.0,74.809,0
Cinder,The Ride (Album),2006,-5.025,6,0.0,0.0,157.909,0
Sister Rosetta Tharpe,Two Little Fishes_ Five Loaves Of Bread,0,-11.459,5,0.0,0.0,89.995,0
George Lopez,Church Hangover,2006,-16.724,9,0.0,0.0,101.455,0
Johnny Cash,I Got Stripes (Live),2006,-7.0870000000000015,4,0.0,0.0,118.041,0
Hatesex,The Greed Of Our Stare,0,-8.506,0,0.0,0.0,180.12900000000005,0
Rui Da Silva,The Contracting Perception Of Consciousness,0,-12.161,1,0.0,0.0,123.007,0
Tim Exile,Post-Toxic Finger Disorder,2006,-4.379,0,0.0,0.0,141.836,0
Marcel Mouloudji,Qui Donc A Chang\xc3\xa9 ?,0,-14.711,0,0.0,0.0,77.5,0
Alex Theory,Lotus Kiss,0,-10.56,9,0.0,0.0,100.295,0
Michael Card,So Many Books ... (The Word Album Version),0,-7.005,9,0.0,0.0,122.403,0
Megadrums,Drummer's Circle,0,-15.777,11,0.0,0.0,118.713,0
Walter Jackson,What Would You Do,2006,-12.839,5,0.0,0.0,78.453,0
Bizzy Bone Presents,Intro,2004,-7.8370000000000015,4,0.0,0.0,81.90100000000002,0
Jerry Reed,When You're Hot_ You're Hot,0,-4.994,9,0.0,0.0,201.951,0
Justin,Kong,0,-12.586,1,0.0,0.0,81.38,0
New Roanoke Jug Band,When Those Two Towers Fell,0,-13.873,0,0.0,0.0,96.212,0
Floor,Ignis,2009,-9.105,4,0.0,0.0,144.803,0
Charles Williams,Close Up,0,-14.493,5,0.0,0.0,102.95,0
The Animals_ Sonny Boy Williamson,Bo Diddley,1973,-9.492,10,0.0,0.0,81.111,0
Fever Ray,I'm Not Done,2009,-9.074,0,0.0,0.0,64.811,0
Orquesta Broadway,La Sitiera,0,-8.612,9,0.0,0.0,95.243,0
T-Bone Walker,Teenage Baby (Digitally Remastered),0,-11.124,8,0.0,0.0,162.855,0
David Martin,It Must Be,0,-8.57,4,0.0,0.0,133.925,0
Dilated Peoples,Big Business,2004,-8.225,11,0.0,0.0,165.546,0
Warren Barfield,Shadow,2006,-6.7479999999999976,11,0.0,0.0,117.985,0
MN,The Truth,0,-12.371,11,0.0,0.0,136.95,0
Bob Wills,Sittin' On Top of the Wolrd,0,-15.653,7,0.0,0.0,95.655,0
Checkers,Oh Oh Oh Baby,0,-13.42,1,0.0,0.0,135.048,0
Los Iracundos,Adios...Borron Y Cuenta Nueva,0,-7.582000000000002,2,0.0,0.0,92.785,0
John And The Bluesbreakers Mayall,A Hard Road,1967,-6.356,7,0.0,0.0,94.304,0
Hevia,San Xuan,2003,-5.7639999999999985,0,0.0,0.0,125.02,0
Babbie Mason,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),0,-17.262999999999998,2,0.0,0.0,141.02200000000005,0
Benabar,Le Zoo De Vincennes,2003,-11.258,4,0.0,0.0,88.01799999999999,0
Champion Jack Dupree,Christina Christina Blues,0,-21.72300000000001,3,0.0,0.0,95.026,0
Tommy James & The Shondells,Crimson And Clover,1969,-11.359000000000002,11,0.0,0.0,167.84099999999995,0
Charles Williams,Barrage,0,-12.91,0,0.0,0.0,74.666,0
Bally Sagoo,Mele Wich Ayee (Shaan Remix),0,-12.392,6,0.0,0.0,111.901,0
Jerry Yan,XI GUAN LIANG GE REN,0,-10.803,11,0.0,0.0,117.892,0
Z.Z. Hill,Faithful and True (Collectors Version),1971,-8.301,10,0.0,0.0,73.545,0
The Grease Band,Laughed At The Judge,0,-16.021,6,0.0,0.0,123.891,0
Marcus Miller,Outro Duction,2005,-13.227,9,0.0,0.0,78.382,0
Tina Britt,He Put The Hurt On Me,2006,-7.162000000000001,3,0.0,0.0,118.835,0
X-Static,Murderous Style,0,-12.139,1,0.0,0.0,98.645,0
Gary Morris,You're Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version),0,-12.584,7,0.0,0.0,81.809,0
Silv\xc3\xa9rio Pessoa,Eu vi a maquina voadora,0,-11.448,4,0.0,0.0,95.997,0
The Prodigy,Music Reach (1/2/3/4) (Remastered),0,-5.434,6,0.0,0.0,215.916,0
Deborah Allen,I Will Always Love You,2005,-11.156,6,0.0,0.0,67.904,0
Tomorrow,Colonel Brown (1999 Digital Remaster),0,-11.216,2,0.0,0.0,138.028,0
John Holt,The Tide Is High - Original,0,-13.898,8,0.0,0.0,166.05,0
Ty Herndon;Stephanie Bentley,Heart Half Empty,0,-7.688,10,0.0,0.0,74.166,0
Faye Adams,My Greatest Desire,1961,-11.508,3,0.0,0.0,110.323,0
Chimaira,The Flame,2007,-4.238,7,0.0,0.0,150.11,0
Cali,Sta giu' (feat. Dj Rockdrive),0,-4.184,1,0.0,0.0,187.716,0
The Master Musicians of Jajouka featuring Bachir Attar,The Truth Forever,0,-15.925999999999998,8,0.0,0.0,131.578,0
Ang\xc3\xa9lla Christie,Walk With Me,0,-8.665,5,0.0,0.0,111.465,0
The Winans,Everything You Touch Is a Song,0,-13.792,8,0.0,0.0,102.328,0
Luiz Bonfa,A Brazilian in New York,0,-18.713,4,0.0,0.0,105.813,0
Mario Rosenstock,De Tree Little Pigs,0,-5.849,10,0.0,0.0,79.09,0
Red Hot Chili Peppers,Get On Top (Album Version),1999,-1.479,4,0.0,0.0,76.986,0
Trivium,Upon The Shores [Explicit],2008,-3.973,4,0.0,0.0,100.604,0
Mack and Jamie,Slimy Little Troll,0,-15.755,8,0.0,0.0,186.13,0
Chris Standring,Mumbo Jumbo (jazz),2006,-9.449,9,0.0,0.0,97.959,0
Jerry Goldsmith,First Blood,1985,-18.719,1,0.0,0.0,77.306,0
Gordon MacRae,Do You Ever Think Of Me,0,-16.215,3,0.0,0.0,77.929,0
John Mayall & The Bluesbreakers,Crawling Up A Hill - version 2 - mono_ live,0,-4.62,8,0.0,0.0,166.238,0
Charley Patton,Moon Going Down,1930,-15.164,10,0.0,0.0,107.877,0
Ensiferum,Hero In A Dream,1999,-2.599,9,0.0,0.0,200.061,0
The Race,Raising Children,2006,-5.297999999999999,11,0.0,0.0,118.043,0
Neviss,Epilog,2003,-31.412,1,0.0,0.0,160.409,0
Martin Sexton,Ice Cream Man,2001,-8.732999999999999,2,0.0,0.0,133.391,0
Dylan Kuo,Ji Xiang Yan Chu,0,-5.614,1,0.0,0.0,100.173,0
Yahir,No seamos tontos,0,-5.737,0,0.0,0.0,131.938,0
Reel Big Fish,Why Do All Girls Think They're Fat (Album),2007,-4.188,2,0.0,0.0,159.72299999999996,0
Brian Dullaghan,My First Day At School,0,-21.412,2,0.0,0.0,92.29,0
Der Plan,De Kommissar 1,0,-18.169,6,0.0,0.0,35.898,0
Chango Spasiuk,De Bombacha Y Alpargatas,0,-13.763,9,0.0,0.0,194.156,0
Hacken Lee,He Jiu Bi Hun,0,-11.786,6,0.0,0.0,112.081,0
Peggy Zina,O Hiroteros Ehthros Mou,2009,-6.654,3,0.0,0.0,96.024,0
J.J. Cale,Midnight In Memphis,1997,-14.293,0,0.0,0.0,111.492,0
DJ Spinn,Feelin You,0,-6.53,6,0.0,0.0,119.987,0
Theodis Ealey,This Time I Know,0,-7.405,10,0.0,0.0,99.238,0
Janet Paschal,God Will Make A Way,0,-11.536,7,0.0,0.0,119.194,0
Souls Of Mischief,Spark,2002,-5.9110000000000005,4,0.0,0.0,96.287,0
Raze,Follow Your Dreams (The Plan Album Version),0,-2.932,6,0.0,0.0,108.831,0
Bad Brains,Destroy Babylon,1983,-9.614,9,0.0,0.0,86.536,0
Everyday Sunday,Don't Leave,2002,-7.4620000000000015,7,0.0,0.0,103.009,0
Dora The Explorer,Travel Song (Reprise),2008,-6.9170000000000025,1,0.0,0.0,123.965,0
Kix,Cold Blood (LP Version),0,-2.769,1,0.0,0.0,140.994,0
Britney Spears,Don't Go Knockin' On My Door,2000,-5.3039999999999985,10,0.0,0.0,111.004,0
Skeletonwitch,Sacrifice for the Slaughtergod,2007,-5.516,9,0.0,0.0,201.333,0
Slightly Stoopid,Jimi Baby,0,-12.708,9,0.0,0.0,173.709,0
Indigenous,Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester),0,-6.724,5,0.0,0.0,108.018,0
John Michael Talbot,Pass Through My Will,1989,-21.506,5,0.0,0.0,96.709,0
Maximilian Hecker,Full Of Voices,2005,-8.059,8,0.0,0.0,129.488,0
Leroy Hutson,More Where That Came From - Original,0,-17.92,7,0.0,0.0,183.935,0
True Believers,I Worship You,0,-8.672,4,0.0,0.0,92.881,0
Blingtones,La bo\xc3\xaete \xc3\xa0 hein biloute,0,-12.838,4,0.0,0.0,67.046,0
Charlie Cruz,Si No Te Hubieras Ido,0,-2.968,2,0.0,0.0,200.534,0
