,Artist,Title,spotify_id,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
0,Mastodon,Deep Sea Creature,3kpdcl625qW3JW3bT9LpIy,6.53E-06,0.269,0.993,0.134,5,0.195,-3.219,1,0.171,87.795,0.218,0
1,Foxy Brown,If I...,3lZpFRnVx0eaO0IY3Y6tR9,0.114,0.894,0.575,1.30E-06,10,0.187,-9.447,0,0.206,93.037,0.516,0
2,Bone Thugs-N-Harmony,Murder One,4YnFi3HZr18N1NhcPrOj7l,0.32,0.734,0.672,0,9,0.302,-4.732,1,0.0908,75.986,0.447,0
3,Utopia,On My Feet Again,4hDOtH6r7UHqOgCt7S01of,0.0571,0.465,0.865,0.002,2,0.271,-9.989,1,0.0595,114.31,0.83,0
4,Muse,Bedroom Acoustics,0HFlYQNr3Y2hOUnOZ1qLXH,0.872,0.544,0.184,0.793,4,0.0776,-18.932,1,0.0691,128.087,0.207,0
5,Portable,Theresa,4CkQkBMwuXqZYfdBvarbXw,0.0437,0.912,0.308,0.771,1,0.0741,-18.026,1,0.34,115.957,0.486,0
6,Daniel Johnston,Story Of An Artist (Don't Be Scared),73cER0SBGggJuZ9wfnfZmp,0.985,0.421,0.371,0.0153,0,0.351,-9.701,1,0.039,103.574,0.652,0
7,String Trio Of New York,Ju Ju,6Vt4nK6H2heXzjZlPvMwz6,0.482,0.591,0.177,0.707,11,0.0646,-18.24,0,0.0822,99.294,0.409,0
8,Ultraviolence,I Destructor (Lenny Dee Mix),2MT8HYc6s9ggpABI5KRdyw,0.00737,0.54,0.821,0.885,4,0.235,-9.167,0,0.0779,174.546,0.0389,0
9,Speedball,No Survivors,4usnKCYzqERVoztx3B3yTN,0.00183,0.269,0.875,2.23E-05,5,0.243,-9.041,1,0.0395,160.004,0.657,0
10,Autumnblaze,Her Golden Robe In Silence Veiled,4RuxUXTUdXxhS2tUoe3TN1,0.0126,0.353,0.602,0.591,9,0.1,-11.948,0,0.0377,118.751,0.451,0
11,Kris Kristofferson,Same Old Song,0RGrMCZ57k14ks8QZWmXsg,0.649,0.475,0.32,0,9,0.111,-13.057,1,0.0341,150.406,0.637,0
12,Sister Rosetta Tharpe,Two Little Fishes_ Five Loaves Of Bread,7M4trxazMSapqVRum8Gavb,0.852,0.308,0.479,0,7,0.122,-3.96,0,0.0473,179.133,0.558,0
13,George Lopez,Church Hangover,3tLwwYudhNFszXT5fhDqdm,0.885,0.421,0.803,1.76E-05,7,0.69,-16.247,1,0.899,127.137,0.0872,0
14,Johnny Cash,I Got Stripes (Live),0ry355UoTbc3NScBC2F3jA,0.394,0.525,0.459,0,5,0.523,-15.718,0,0.298,125.55,0.612,0
15,Hatesex,The Greed Of Our Stare,5wO3F8tmGyWlxTU9fSIyAF,0.000469,0.406,0.67,0.738,0,0.114,-8.308,1,0.0271,180.046,0.35,0
16,Rui Da Silva,The Contracting Perception Of Consciousness,2KhYdGZKZVJxqVABVKX3u5,0.00672,0.887,0.523,0.651,11,0.104,-12.774,0,0.0795,123.011,0.761,0
17,Tim Exile,Post-Toxic Finger Disorder,0U5UkOX1dImP1A1o6VpdRR,0.00417,0.178,0.997,0.0525,10,0.342,-4.64,0,0.274,176.975,0.419,0
18,Megadrums,Drummer's Circle,08lthg32KndnQTZItDDdan,0.871,0.6,0.464,0.886,10,0.102,-15.619,0,0.213,119.044,0.581,0
19,Walter Jackson,What Would You Do,5IgcCDyEksmak08MZdaSaF,0.723,0.591,0.284,5.71E-05,5,0.233,-12.261,1,0.0293,78.565,0.457,0
20,Bizzy Bone Presents,Intro,0yagAae1wIXMDYMVA2c0d9,0.0147,0.674,0.875,0.0254,0,0.169,-7.596,1,0.162,122.578,0.838,0
21,Jerry Reed,When You're Hot_ You're Hot,6sykijVtS1m8vxLnkKXrJ5,0.354,0.788,0.832,0,4,0.1,-10.783,1,0.0981,101.045,0.91,0
22,Justin,Kong,3I6B9uTGJfhNuhEc6vy74z,0.27,0.821,0.412,0,9,0.191,-12.876,1,0.0719,124.086,0.0385,0
23,Floor,Ignis,4QN9M0fLKdvPtksseX9Hoh,0.0161,0.259,0.914,0.889,4,0.0808,-9.438,1,0.0563,144.659,0.536,0
24,The Animals_ Sonny Boy Williamson,Bo Diddley,63s4jyVlePQv09SZuTqpAv,0.613,0.681,0.449,0.00587,10,0.671,-11.252,1,0.049,121.103,0.701,0
