Artist name_x,Title_x,spotify_id,has_lyrics,flesch_ease,gunning_fog,flesch_readability,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
Mastodon,Deep Sea Creature,3kpdcl625qW3JW3bT9LpIy,1,109.21,2.22,-1,6.53E-06,0.269,0.993,0.134,5,0.195,-3.219,1,0.171,87.795,0.218,0
Foxy Brown,If I...,3lZpFRnVx0eaO0IY3Y6tR9,1,104.34,4.41,1,0.114,0.894,0.575,1.30E-06,10,0.187,-9.447,0,0.206,93.037,0.516,0
Bone Thugs-N-Harmony,Murder One,4YnFi3HZr18N1NhcPrOj7l,1,89.04,4.34,2.8,0.32,0.734,0.672,0,9,0.302,-4.732,1,0.0908,75.986,0.447,0
Utopia,On My Feet Again,4hDOtH6r7UHqOgCt7S01of,1,104.64,4.08,0.9,0.0571,0.465,0.865,0.002,2,0.271,-9.989,1,0.0595,114.31,0.83,0
Muse,Bedroom Acoustics,0HFlYQNr3Y2hOUnOZ1qLXH,0,0,0,0,0.872,0.544,0.184,0.793,4,0.0776,-18.932,1,0.0691,128.087,0.207,0
Autumnblaze,Her Golden Robe In Silence Veiled,4RuxUXTUdXxhS2tUoe3TN1,1,107.58,3.01,-0.3,0.0126,0.353,0.602,0.591,9,0.1,-11.948,0,0.0377,118.751,0.451,0
Sister Rosetta Tharpe,Two Little Fishes_ Five Loaves Of Bread,7M4trxazMSapqVRum8Gavb,1,108.4,2.42,-0.6,0.852,0.308,0.479,0,7,0.122,-3.96,0,0.0473,179.133,0.558,0
Jerry Reed,When You're Hot_ You're Hot,6sykijVtS1m8vxLnkKXrJ5,1,112.69,4.15,-0.2,0.354,0.788,0.832,0,4,0.1,-10.783,1,0.0981,101.045,0.91,0
Justin,Kong,3I6B9uTGJfhNuhEc6vy74z,1,115.84,2.52,-1.4,0.27,0.821,0.412,0,9,0.191,-12.876,1,0.0719,124.086,0.0385,0
Fever Ray,I'm Not Done,5bhgC6aNOJIt5PVTrmuwu1,1,116.75,2.16,-1.8,0.0364,0.666,0.647,0.754,7,0.0698,-9.308,1,0.0398,117.004,0.684,0
Dilated Peoples,Big Business,6TIsvuHfZmapjP2R5f0k5s,1,96.79,6.62,1.8,0.462,0.705,0.852,1.93E-06,11,0.112,-8.157,1,0.291,97.254,0.696,0
Warren Barfield,Shadow,6O7jjBh7jighpPiZfx70zw,1,108.5,2.08,-0.7,0.0159,0.69,0.761,0,11,0.342,-6.866,1,0.0442,117.961,0.774,0
MN,The Truth,0tuAajBbpy3KuTPSO8UtiD,1,106.87,3.53,0,0.81,0.113,0.000255,0.927,9,0.112,-42.93,0,0.0584,66.773,0.0372,0
Deborah Allen,I Will Always Love You,48Zo0bfmxeqjsQzNv9mFEy,1,115.33,3.06,-1.2,0.771,0.382,0.14,2.49E-06,6,0.13,-9.727,1,0.0293,132.916,0.186,0
Chimaira,The Flame,1QBAVaOvAXrcFgA4JK8JwH,1,108.6,2.75,-0.7,0.000308,0.471,0.971,5.21E-05,7,0.437,-5.253,1,0.143,150.055,0.116,0
The Winans,Everything You Touch Is a Song,0nFEeSOwXfkYKSShg2RR1V,1,106.06,3.29,0.4,0.849,0.462,0.249,2.63E-05,8,0.0904,-16.04,1,0.043,102.579,0.183,0
Charley Patton,Moon Going Down,2373j7LFUJg87hjC1hxXqE,1,102,4.64,1.9,0.994,0.618,0.275,0.418,10,0.116,-14.77,1,0.0394,108.894,0.483,0
Ensiferum,Hero In A Dream,0hZhkqtHQzrNJ49N65SWTP,1,114.83,2.92,-1,1.16E-05,0.438,0.969,0.4,7,0.229,-2.605,1,0.131,100.002,0.527,0
DJ Spinn,Feelin You,7j6NLGVKlzRwpeZ2CUaZna,0,0,0,0,0.00412,0.776,0.382,0.863,4,0.0786,-6.089,1,0.322,160.08,0.704,0
Bad Brains,Destroy Babylon,4KNxYUdIDJXS7pOZTH34Sk,1,98.21,4.51,1.3,4.15E-05,0.283,0.985,0.549,5,0.33,-9.712,0,0.0706,90.046,0.161,0
Everyday Sunday,Don't Leave,1EGDnBDjENMyOnr7sGccVK,1,114.22,3.47,-0.8,0.000175,0.464,0.696,0,7,0.258,-7.197,1,0.0288,102.988,0.235,0
Dora The Explorer,Travel Song (Reprise),4YCOex6saOzBffMoaolHwn,1,92.19,2.51,1.5,0.654,0.826,0.881,0.435,2,0.0841,-6.637,1,0.0593,124.026,0.926,0
Britney Spears,Don't Go Knockin' On My Door,3HTkB9Nk04MJHkG0X6cL2R,1,107.58,2.77,-0.3,0.23,0.808,0.761,0,10,0.674,-5.614,0,0.0512,110.965,0.92,0
Slightly Stoopid,Jimi Baby,04uGsEzXnvFxNtZzGzyuqn,1,115.74,3.25,-1.4,0.00549,0.369,0.595,0.478,9,0.48,-10.736,1,0.0468,171.986,0.35,0
Maximilian Hecker,Full Of Voices,0V7kh44COZmCoYYXRmQIMD,1,100.85,1.76,0.3,0.0874,0.254,0.799,0.0126,8,0.943,-8.418,1,0.0959,195.006,0.387,0
